Nummer,Datum des Inkrafttretens,Stadt/Gemeinde
Laufach_010-000,1999-04-16,Laufach
Laufach_038-005,1999-07-23,Laufach
Laufach_038-006,1999-10-15,Laufach
Laufach_013-000,2000-03-24,Laufach
Laufach_038-007,2000-06-16,Laufach
Laufach_013-001,2001-05-18,Laufach
Laufach_010-003,2005-06-24,Laufach
Laufach_039-000,2012-11-16,Laufach
Sailauf_007-000,1972-05-25,Sailauf
Ssilauf/003-000,1978-06-16,Sailauf
Sailauf_007-001,1989-12-15,Sailauf
Sailauf_007-002,1997-03-07,Sailauf
Sailauf_002-000,1973-10-04,Sailauf
Sailauf_012-000,1981-03-08,Sailauf
Sailauf_016-000,1981-09-04,Sailauf
Sailauf_012-001,1983-11-18,Sailauf
Sailauf/014-001,1994-03-21,Sailauf
Sailauf_002-001,1997-03-07,Sailauf
Sailauf_012-002,1997-03-07,Sailauf
Sailauf/014-002,1997-03-07,Sailauf
Sailauf_002-002,2002-05-31,Sailauf
Sailauf_012-003,2004-10-08,Sailauf
Sailauf_001-000,1966-05-13,Sailauf
Sailauf_019-000,1966-11-26,Sailauf
Sailauf_005-000,1990-12-14,Sailauf
Sailauf_005-001,1992-05-15,Sailauf
Sailauf_019-001,1992-10-23,Sailauf
Sailauf_005-002,1997-03-07,Sailauf
Sailauf_019-002,1997-03-07,Sailauf
Sailauf_011-000,1975-11-03,Sailauf
Sommerkahl_001-000,1985-10-31,Sommerkahl
Sommerkahl_002-002,1986-03-20,Sommerkahl
Sommerkahl_002-003,1988-08-04,Sommerkahl
Kleinkahl_009-000,1996-05-09,Kleinkahl
004_000,2001-01-16,Miltenberg
019_000,2006-02-22,Eschau
Heimbuchenthal_14-000,1963-05-16,Heimbuchenthal
Heimbuchenthal_16-000,1970-01-26,Heimbuchenthal
Heimbuchenthal_15-000,1993-04-08,Heimbuchenthal
Heimbuchenthal_01-000,1994-01-14,Heimbuchenthal
Heimbuchenthal_15-001,1994-06-24,Heimbuchenthal
Heimbuchenthal_12-000,1997-01-10,Heimbuchenthal
Heimbuchenthal_13-000,2004-01-23,Heimbuchenthal
Heimbuchenthal_05-000,1997-11-14,Heimbuchenthal
Heimbuchenthal_18-000,2006-07-14,Heimbuchenthal
Mespelbrunn_001-000,1973-08-14,Mespelbrunn
Mespelbrunn_006-000,1997-02-21,Mespelbrunn
Mespelbrunn_004-000,1976-08-11,Mespelbrunn
Mespelbrunn_002-000,2010-03-12,Mespelbrunn
Laufach_029-000,1977-12-23,Laufach
Laufach_007-000,1977-12-23,Laufach
Laufach_029-002,1977-12-23,Laufach
Laufach_029-001,1984-02-14,Laufach
Laufach_007-001,1985-08-09,Laufach
Laufach_016-000,1987-11-27,Laufach
Laufach_017-001,1987-12-18,Laufach
Laufach_015-000,1998-01-30,Laufach
Laufach_015-001,2001-09-21,Laufach
Laufach_016-001,2002-10-25,Laufach
Laufach_017-002,2005-04-22,Laufach
Laufach_036-000,2011-02-11,Laufach
Laufach_016-002,2012-04-20,Laufach
Laufach_007-003,2013-10-25,Laufach
Laufach_016-003,2019-04-05,Laufach
Laufach_044-000,2020-04-17,Laufach
Laufach_006-001,1971-02-12,Laufach
Laufach_012-000,1997-03-21,Laufach
Laufach_012-001,1998-02-13,Laufach
Laufach_036-001,2012-04-20,Laufach
Laufach_012-002,2013-10-25,Laufach
Sailauf_013-000,1973-08-31,Sailauf
Sailauf_013-001,2002-03-15,Sailauf
Sommerkahl_002-004,1996-09-12,Sommerkahl
Kleinkahl_006-000,1980-08-21,Kleinkahl
Kleinkahl_010-000,1981-09-24,Kleinkahl
Kleinkahl_010-001,2003-02-20,Kleinkahl
Kleinkahl_004-000,2004-12-23,Kleinkahl
Kleinkahl_002-002,1993-10-28,Kleinkahl
Kleinkahl_008-000,2005-05-12,Kleinkahl
Kleinkahl_010-002,2008-04-10,Kleinkahl
Kleinkahl_001-000,2009-10-15,Kleinkahl
Kleinkahl_005-001,2008-01-31,Kleinkahl
007_000,1997-08-22,Miltenberg
Dammbach_003_000,1965-09-01,Dammbach
Dammbach_015_000,1994-06-17,Dammbach
Dammbach_013_000,1991-06-24,Dammbach
Dammbach_013_001,1993-12-23,Dammbach
Dammbach_013_002,2009-08-17,Dammbach
Heimbuchenthal_11-000,2000-07-21,Heimbuchenthal
Heimbuchenthal_10-000,1994-08-19,Heimbuchenthal
Heimbuchenthal_10-001,1997-05-30,Heimbuchenthal
Heimbuchenthal_16-001,1999-11-19,Heimbuchenthal
Heimbuchenthal_09-000,2006-07-14,Heimbuchenthal
Heimbuchenthal_16-002,2008-11-21,Heimbuchenthal
Heimbuchenthal_04-000,1975-10-31,Heimbuchenthal
Heimbuchenthal_02-000,1993-10-01,Heimbuchenthal
Heimbuchenthal_04-001,1994-01-07,Heimbuchenthal
Heimbuchenthal_04-002,1996-12-02,Heimbuchenthal
Heimbuchenthal_04-003,2001-11-09,Heimbuchenthal
Mespelbrunn_003-000,1980-07-04,Mespelbrunn
Mespelbrunn_003-001,2008-01-04,Mespelbrunn
Mespelbrunn_005-000,1967-08-31,Mespelbrunn
Waldaschaff_004-000,1998-09-04,Waldaschaff
Waldaschaff_002-000,2009-06-19,Waldaschaff
Laufach_027-000,1966-11-18,Laufach
Laufach_027-001,1978-06-09,Laufach
Laufach_033-000,1978-06-30,Laufach
Laufach_027-002,1987-11-20,Laufach
Laufach_006-005,1993-09-10,Laufach
Laufach_027-004,1995-11-03,Laufach
Laufach_006-006,1997-03-21,Laufach
Laufach_027-005,2003-04-17,Laufach
Laufach_025-000,2006-05-05,Laufach
Laufach_033-001,2006-06-02,Laufach
Laufach_023-000,2009-07-31,Laufach
Laufach_023-001,2014-06-27,Laufach
Laufach_012-003,2015-09-21,Laufach
Laufach_024-000,1959-08-03,Laufach
Laufach_034-000,1963-03-01,Laufach
Laufach_030-000,1972-02-04,Laufach
Laufach_034-001,1983-10-14,Laufach
Laufach_027-003,1990-04-27,Laufach
Laufach_031-000,1997-07-25,Laufach
Laufach_006-007,1998-03-06,Laufach
Laufach_024-001,2000-08-04,Laufach
Kleinkahl_003-001,1994-11-10,Kleinkahl
Kleinkahl_007-000,1997-03-27,Kleinkahl
007_000,1969-07-29,Eichenbühl
001_000,1990-02-20,Eichenbühl
001_001,1994-06-14,Eichenbühl
019_000,1996-10-01,Eichenbühl
004_000,2001-02-06,Eichenbühl
006_000,2001-02-06,Eichenbühl
007_003,2010-02-09,Eichenbühl
001_003,2012-09-04,Eichenbühl
008_000,1700-01-01,Eichenbühl
009_000,1983-07-05,Eichenbühl
010_000,1970-02-03,Collenberg
013_001,1983-08-05,Collenberg
012_000,1988-05-13,Collenberg
011_000,1993-09-27,Collenberg
007_000,2006-10-13,Collenberg
007_001,2008-11-27,Collenberg
007_002,2012-05-22,Collenberg
008_002,1983-08-05,Collenberg
009_000,1983-08-05,Collenberg
008_000,1983-08-05,Collenberg
008_001,1994-07-29,Collenberg
017_001,1968-05-17,Collenberg
017_000,1968-05-17,Collenberg
015_000,1970-04-08,Collenberg
002_000,1978-11-10,Collenberg
003_000,1987-07-10,Collenberg
002_001,2001-05-31,Collenberg
Dammbach_014_000,1989-06-30,Dammbach
Dammbach_014_001,1991-07-01,Dammbach
Dammbach_008-000,2002-10-07,Dammbach
Dammbach_012_000,2002-10-07,Dammbach
Dammbach_012_001,2005-07-28,Dammbach
Heimbuchenthal_06-000,1994-06-24,Heimbuchenthal
Heimbuchenthal_07-000,1996-07-05,Heimbuchenthal
Waldaschaff_003-000,1966-11-18,Waldaschaff
Waldaschaff_001-000,1986-05-30,Waldaschaff
Laufach_020-000,1963-05-03,Laufach
Laufach_032-000,1976-11-15,Laufach
Laufach_032-001,1980-10-31,Laufach
Laufach_011-000,1981-01-16,Laufach
Laufach_021-000,1981-05-08,Laufach
Laufach_032-002,1981-05-18,Laufach
Laufach_019-000,1982-10-08,Laufach
Laufach_011-001,1983-06-01,Laufach
Laufach_005-001,1984-02-03,Laufach
Laufach_032-003,1985-07-12,Laufach
Laufach_021-001,1986-05-30,Laufach
Laufach_021-002,1987-07-17,Laufach
Laufach_032-004,1987-10-09,Laufach
Laufach_005-002,1989-02-24,Laufach
Laufach_019-001,1990-07-13,Laufach
Laufach_005-003,1999-11-19,Laufach
Laufach_019-002,2000-09-22,Laufach
Laufach_001-001,2002-02-01,Laufach
Laufach_014-000,2006-03-24,Laufach
Laufach_001-003,2006-12-15,Laufach
Laufach_001-004,2008-06-13,Laufach
Laufach_011-003,2012-04-20,Laufach
Laufach_043-000,2019-11-06,Laufach
Laufach_011-002,1984-09-28,Laufach
Laufach_002-000,2010-01-29,Laufach
Kleinkahl_003-002,1998-02-26,Kleinkahl
025_000,2001-06-26,Eichenbühl
005_000,1700-01-01,Eichenbühl
002_002,1700-01-01,Eichenbühl
003_000,1988-09-13,Eichenbühl
002_000,1998-01-13,Eichenbühl
002_001,1999-07-27,Eichenbühl
003_002,2013-07-16,Eichenbühl
014_000,1969-10-30,Collenberg
006_000,1999-01-11,Collenberg
001_000,2007-12-19,Collenberg
004_000,1989-07-12,Collenberg
006_001,1999-11-24,Collenberg
Dammbach_005_000,1977-01-28,Dammbach
Dammbach_002_000,1977-05-18,Dammbach
Dammbach_004_000,1980-08-14,Dammbach
Dammbach_006_000,1982-11-12,Dammbach
Dammbach_007_000,1999-10-29,Dammbach
Dammbach_001_000,2002-10-04,Dammbach
Dammbach_009_000,2006-07-07,Dammbach
Dammbach_010_000,2006-11-13,Dammbach
Dammbach_017-000,2014-04-25,Dammbach
Dammbach_016_000,2003-01-17,Dammbach
Dammbach_011_000,2006-01-13,Dammbach
Laufach_035-000,1973-05-04,Laufach
Laufach_035-001,1982-10-29,Laufach
Laufach_004-000,2000-06-02,Laufach
Laufach_011-004,2013-07-05,Laufach
Laufach_045-000,2020-02-28,Laufach
Laufach_035-002,1985-03-08,Laufach
Laufach_035-003,1988-09-23,Laufach
Laufach_035-004,2002-09-27,Laufach
Laufach_026-000,2010-01-29,Laufach
Heigenbrücken_016-000,1969-10-24,Heigenbrücken
Heigenbrücken_016-001,1980-01-10,Heigenbrücken
Heigenbrücken_016-002,1999-10-11,Heigenbrücken
Heigenbrücken_016-003,1999-10-11,Heigenbrücken
Heigenbrücken_006-000,1979-06-07,Heigenbrücken
Heigenbrücken_006-002,1987-06-01,Heigenbrücken
Heigenbrücken_006-003,1999-10-07,Heigenbrücken
015_000,2006-03-28,Eichenbühl
013_000,1975-05-22,Eichenbühl
014_000,1990-12-04,Eichenbühl
012_000,1999-03-23,Eichenbühl
023_000,2013-02-13,Eichenbühl
005_000,1989-05-12,Collenberg
005_001,1998-09-18,Collenberg
Laufach_003-000,1999-04-16,Laufach
Laufach_018-000,2000-04-14,Laufach
Laufach_003-001,2005-07-15,Laufach
Heinrichsthal_002-000,1985-06-03,Heinrichsthal
Heinrichsthal_002-001,1997-07-25,Heinrichsthal
018_000,1974-11-20,Eichenbühl
006_000,1993-11-23,Neunkirchen
007_000,1998-06-30,Neunkirchen
001_000,2002-08-27,Neunkirchen
008_000,1975-03-20,Eschau
015_000,1989-07-13,Eschau
Heigenbrücken_005-000,2000-11-24,Heigenbrücken
Heinrichsthal_004-000,1968-04-30,Heinrichsthal
Heinrichsthal_003-000,1995-09-08,Heinrichsthal
Heinrichsthal_004-001,1997-06-30,Heinrichsthal
Heinrichsthal_001-000,1988-10-11,Heinrichsthal
020_000,1990-03-20,Eichenbühl
024_000,2008-01-22,Eichenbühl
003_000,1979-08-02,Neunkirchen
011_000,1992-09-01,Neunkirchen
012_000,2006-05-09,Neunkirchen
005_000,1981-09-03,Dorfprozelten
004_000,1981-09-03,Dorfprozelten
012_000,1967-07-11,Dorfprozelten
012_003,1993-02-18,Dorfprozelten
001_000,1994-09-08,Dorfprozelten
Heigenbrücken_015-000,1997-07-24,Heigenbrücken
Heigenbrücken_015-001,1999-10-11,Heigenbrücken
Heigenbrücken_001-000,1969-08-07,Heigenbrücken
Heigenbrücken_002-000,1975-06-29,Heigenbrücken
Heigenbrücken_004-000,1982-03-04,Heigenbrücken
Heigenbrücken_007-000,1996-03-28,Heigenbrücken
Heigenbrücken_007-001,1996-10-30,Heigenbrücken
Heigenbrücken_001-002,1999-10-11,Heigenbrücken
Heigenbrücken_002-001,1999-10-11,Heigenbrücken
Heigenbrücken_007-002,1999-10-11,Heigenbrücken
Heigenbrücken_004-002,1999-10-11,Heigenbrücken
Heigenbrücken_004-003,2003-05-30,Heigenbrücken
Heigenbrücken_011-003,2003-05-30,Heigenbrücken
Heigenbrücken_011-004,2017-07-17,Heigenbrücken
Wiesen_007-000,1970-11-01,Wiesen
Wiesen_005-000,1970-12-02,Wiesen
Wiesen_006-000,1979-06-08,Wiesen
Wiesen_004-000,1989-05-24,Wiesen
Wiesen_003-000,1995-10-26,Wiesen
Wiesen_006-001,2001-10-18,Wiesen
Wiesen_002-000,2003-11-27,Wiesen
Wiesen_006-002,2004-06-24,Wiesen
Wiesen_006-003,2005-09-01,Wiesen
Wiesen_006-004,2009-11-26,Wiesen
Wiesen_006-005,2011-08-25,Wiesen
011_000,2004-10-05,Eichenbühl
010_000,2004-10-05,Eichenbühl
011_001,2009-11-10,Eichenbühl
016_000,1981-12-16,Eichenbühl
017_000,1991-09-24,Eichenbühl
021_000,2004-01-09,Eichenbühl
016_005,2006-05-09,Eichenbühl
022_000,2013-02-13,Eichenbühl
002_000,1974-11-18,Neunkirchen
010_000,1995-04-19,Neunkirchen
005_000,1978-10-03,Neunkirchen
009_000,1978-10-03,Neunkirchen
008_000,1999-10-26,Neunkirchen
008_001,2004-03-16,Neunkirchen
008_000,2000-03-28,Dorfprozelten
011_000,1967-09-20,Dorfprozelten
006_000,1981-02-19,Dorfprozelten
007_000,1989-07-06,Dorfprozelten
007_001,1995-10-19,Dorfprozelten
009_000,1998-03-05,Dorfprozelten
003_000,1998-03-05,Dorfprozelten
002_000,2000-06-29,Dorfprozelten
006_001,2001-11-20,Dorfprozelten
Heigenbrücken_010-000,1980-05-05,Heigenbrücken
Heigenbrücken_008-004,1992-02-24,Heigenbrücken
Heigenbrücken_010-002,1992-07-30,Heigenbrücken
Heigenbrücken_008-005,1999-10-07,Heigenbrücken
Heigenbrücken_010-003,1999-10-11,Heigenbrücken
Heigenbrücken_010-004,2007-08-06,Heigenbrücken
Heigenbrücken_012-000,1965-01-24,Heigenbrücken
Heigenbrücken_009-000,1969-11-13,Heigenbrücken
Heigenbrücken_011-000,1971-03-15,Heigenbrücken
Heigenbrücken_008-000,1972-07-26,Heigenbrücken
Heigenbrücken_003-000,1973-10-02,Heigenbrücken
Heigenbrücken_008-001,1979-07-26,Heigenbrücken
Heigenbrücken_014-000,1980-01-10,Heigenbrücken
Heigenbrücken_011-001,1984-05-25,Heigenbrücken
Heigenbrücken_017-000,1988-07-30,Heigenbrücken
Heigenbrücken_003-002,1990-01-19,Heigenbrücken
Heigenbrücken_008-003,1990-09-19,Heigenbrücken
Heigenbrücken_004-001,1997-11-13,Heigenbrücken
Heigenbrücken_017-001,1999-10-11,Heigenbrücken
Heigenbrücken_014-001,1999-10-11,Heigenbrücken
Heigenbrücken_011-002,1999-10-11,Heigenbrücken
Heigenbrücken_009-001,1999-10-11,Heigenbrücken
Heigenbrücken_003-003,1999-10-11,Heigenbrücken
Heigenbrücken_012-001,1999-10-11,Heigenbrücken
Heigenbrücken_013-000,2005-01-13,Heigenbrücken
Heigenbrücken_012-002,2007-08-06,Heigenbrücken
Wiesen_001-000,1976-12-13,Wiesen
Wiesen_001-001,1982-11-19,Wiesen
Wiesen_001-002,1989-05-11,Wiesen
Wiesen_001-003,1993-05-13,Wiesen
Wiesen_001-004,1994-04-21,Wiesen
Wiesen_001-005,1994-12-22,Wiesen
Wiesen_001-006,1995-08-17,Wiesen
004_000,1994-09-27,Neunkirchen
006_000,1989-11-16,Stadtprozelten
003_000,1992-12-10,Stadtprozelten
006_001,1994-04-07,Stadtprozelten
003_001,1995-01-19,Stadtprozelten
007_000,1994-09-22,Stadtprozelten
010_000,2000-12-21,Stadtprozelten
005_000,2012-09-06,Stadtprozelten
008_000,1990-10-18,Stadtprozelten
002_000,1989-03-23,Altenbuch
001_000,1989-07-20,Altenbuch
002_001,1996-08-01,Altenbuch
004_000,1989-07-20,Altenbuch
Heigenbrücken_008-002,1981-07-30,Heigenbrücken
008_001,2003-07-10,Stadtprozelten
005_000,1974-07-13,Altenbuch
006_000,1980-08-08,Altenbuch
007_000,1989-08-31,Altenbuch
008_001,1991-09-05,Altenbuch
003_000,1993-01-21,Altenbuch
007_001,1995-01-05,Altenbuch
008_002,1995-12-07,Altenbuch
007_002,1996-09-26,Altenbuch
007_003,1997-03-13,Altenbuch
001_000,1965-01-24,Stadtprozelten
002_000,1994-02-10,Stadtprozelten
006_000,2009-12-29,Faulbach
009_000,2010-02-04,Stadtprozelten
002_000,1998-09-04,Faulbach
009_000,1971-12-30,Faulbach
004_000,1993-09-17,Faulbach
008_000,1994-02-18,Faulbach
008_001,1997-07-25,Faulbach
003_000,1983-08-26,Faulbach
003_001,1985-03-29,Faulbach
003_003,1987-09-25,Faulbach
003_004,1992-09-04,Faulbach
001_000,1998-01-09,Faulbach
010_000,2000-12-22,Faulbach
007_000,1969-05-21,Faulbach
005_000,1993-01-22,Faulbach
B-30.02-01,1971-12-31,Neubrunn
B-30.02-01_1,1978-12-01,Neubrunn
B-30.02-02,1989-01-23,Neubrunn
B-30.02-03,1998-01-29,Neubrunn
B-30.02-02_1,2023-04-20,Neubrunn
B-23.02-01,1965-10-27,Holzkirchen
B-23.02-03,1973-10-15,Holzkirchen
B-23.02-02,1973-11-24,Holzkirchen
B-23.02-02_1,1997-05-25,Holzkirchen
B-23.02-06,1997-05-27,Holzkirchen
B-23.02-05,1999-07-22,Holzkirchen
B-30.01-14,1019-02-18,Neubrunn
B-30.01-03,1962-12-14,Neubrunn
B-30.01-02,1963-07-29,Neubrunn
B-30.01-01,1967-04-06,Neubrunn
B-30.01-04,1975-03-14,Neubrunn
B-30.01-03_1,1975-03-14,Neubrunn
B-30.01-03_2,1981-01-26,Neubrunn
B-30.01-06_1,1983-05-30,Neubrunn
B-30.01-10,1986-04-22,Neubrunn
B-30.01-05,1991-11-11,Neubrunn
B-30.01-07,1997-10-29,Neubrunn
B-30.01-13,2018-10-25,Neubrunn
B-30.01-15,2019-12-10,Neubrunn
B-30.01-01_2,1983-06-13,Neubrunn
B-30.01-08,1993-07-22,Neubrunn
B-20.02-03,1970-06-05,Helmstadt
B-20.02-02,1976-06-14,Helmstadt
B-20.02-01,1989-02-13,Helmstadt
B-20.02-04,2001-08-16,Helmstadt
B-20.02-01_1,1989-02-13,Helmstadt
B-30.01-11,1993-12-17,Neubrunn
B-30.01-12,1999-05-25,Neubrunn
B-23.01-07,1995-07-19,Holzkirchen
B-23.01-02,1997-09-10,Holzkirchen
B-23.01-02_1,1999-05-15,Holzkirchen
B-23.01-03,1965-01-09,Holzkirchen
B-23.01-04,1984-04-26,Holzkirchen
B-23.01-04_1,1986-09-26,Holzkirchen
B-23.01-01,1995-08-02,Holzkirchen
B-23.01-04_2,1997-03-03,Holzkirchen
B-23.01-06,2005-07-07,Holzkirchen
B-23.01-04_3,2005-12-05,Holzkirchen
B-20.01-04,1970-01-29,Helmstadt
B-20.01-05,1970-01-29,Helmstadt
B-20.01-04_1,1975-08-06,Helmstadt
B-20.01-01,1976-05-14,Helmstadt
B-20.01-01_1,1987-01-03,Helmstadt
B-20.01-01_3,1997-08-29,Helmstadt
B-20.01-01_4,2018-11-21,Helmstadt
B-23.01-08,2017-03-23,Holzkirchen
B-36.01-01,1974-05-06,Remlingen
B-36.01-01_1,1981-09-28,Remlingen
B-36.01-01_2,1989-08-08,Remlingen
B-36.01-07,1998-07-28,Remlingen
B-36.01-03,1992-04-30,Remlingen
B-36.01-03_3,2009-05-22,Remlingen
03-01,1998-02-07,Zeitlofs
06-01-1,1977-05-09,Zeitlofs
06-01-3,1999-03-06,Zeitlofs
06-01-2,1997-04-26,Zeitlofs
B-20.01-09,1982-10-15,Helmstadt
B-20.01-01_2,1987-05-13,Helmstadt
B-20.01-09_3,1987-06-26,Helmstadt
B-20.01-09_2,1987-08-03,Helmstadt
B-20.01-06,1994-11-03,Helmstadt
B-20.01-07,1976-12-28,Helmstadt
B-20.01-08,1986-09-26,Helmstadt
B-20.01-08_1,1990-02-12,Helmstadt
B-20.01-07_2,1990-07-25,Helmstadt
B-20.01-07_3,1991-09-12,Helmstadt
B-20.01-08_2,1992-12-30,Helmstadt
B-20.01-02,1998-11-09,Helmstadt
B-20.01-06_1,2019-09-26,Helmstadt
B-20.01-11,2022-11-18,Helmstadt
B-46.01-06_1,1985-12-13,Uettingen
B-46.01-14,2012-09-26,Uettingen
B-46.01-06,1981-10-30,Uettingen
B-36.01-04,1992-12-17,Remlingen
B-46.01-06_2,1994-03-11,Uettingen
B-36.01-03_2,2005-09-12,Remlingen
36.01-05,2014-11-24,Remlingen
B-20.01-09_1,1987-01-05,Helmstadt
B-20.01-10,2004-04-19,Helmstadt
B-46.01-04_1,0199-04-11,Uettingen
B-46.01-03,1964-05-09,Uettingen
B-46.01-05,1973-08-23,Uettingen
B-46.01-18,1974-05-28,Uettingen
B-46.01-05_1,1975-03-18,Uettingen
B-46.01-03_1,1979-03-16,Uettingen
B-46.01-05_2,1980-11-28,Uettingen
B-46.01-05_3,1982-02-01,Uettingen
B-46.01-03_2,1990-12-13,Uettingen
B-46.01-04,1991-03-06,Uettingen
B-46.01-01,1992-10-05,Uettingen
B-46.01-01_1,1994-03-11,Uettingen
B-46.01-05_5,2000-02-16,Uettingen
B-46.01-01_2,2005-03-17,Uettingen
B-46.01-02,1980-09-05,Uettingen
B-46.01-02_2,1985-10-04,Uettingen
04-02-1,1995-10-14,Zeitlofs
06-02,2003-09-20,Zeitlofs
04-02--2,2012-10-20,Zeitlofs
B-01.02-01,1977-05-16,Altertheim
B-01.02-02,1968-04-06,Altertheim
B-01.02-02_1,1981-05-13,Altertheim
B-01.02-02_4,1983-09-30,Altertheim
B-01.02-04,1984-05-29,Altertheim
B-01.02-02_5,1986-02-24,Altertheim
B-01.02-05,1986-07-16,Altertheim
B-01.02-06,1997-11-03,Altertheim
B-01.02-03,1977-05-09,Altertheim
B-01.02-03_1,1981-07-16,Altertheim
B-01.02-04_1,2015-02-11,Altertheim
B-46.01-16,2001-09-25,Uettingen
B-46.01-02_1,1981-06-04,Uettingen
B-46.01-17,1981-10-30,Uettingen
B-46.01-07,1996-02-21,Uettingen
B-46.01-08,2000-02-16,Uettingen
B-46.01-19,2020-04-02,Uettingen
B-46.01-02_3,2021-04-23,Uettingen
B-17.01-10,2016-09-22,Greußenheim
04-01-1,1975-02-24,Zeitlofs
04-01-4,2012-01-28,Zeitlofs
04-01-2,1996-11-02,Zeitlofs
04-01-3,2006-05-13,Zeitlofs
B-01.01-02,1987-01-13,Altertheim
B-01.01-02_1,1987-12-01,Altertheim
B-01.01-06,2016-10-21,Altertheim
B-46.01-15,1970-03-04,Uettingen
B-46.01-15_1,1977-12-29,Uettingen
B-50.03-02,1995-05-02,Waldbüttelbrunn
B-50.03-02_1,1998-05-29,Waldbüttelbrunn
B-17.01-05,1994-02-17,Greußenheim
B-17.01-08,2009-05-29,Greußenheim
B-17.01-03,1983-07-07,Greußenheim
B-17.01-03_4,1989-10-10,Greußenheim
B-17.01-03_5,1992-01-27,Greußenheim
B-17.01-09,1965-05-06,Greußenheim
B-17.01-03_2,1988-03-09,Greußenheim
05-01-1,1995-04-08,Zeitlofs
05-01-2,1998-02-21,Zeitlofs
06-01-01,2018-01-19,Zeitlofs
02-01-1,1975-02-24,Zeitlofs
02-01-2,1999-02-13,Zeitlofs
02-01-3,2000-10-07,Zeitlofs
02-01-4,2006-05-13,Zeitlofs
B-01.02-07,1969-12-21,Altertheim
B-01.01-01,1976-11-26,Altertheim
B-01.01-01_1,1979-02-19,Altertheim
B-01.01-05,1994-03-15,Altertheim
B-01.01-03,1995-07-04,Altertheim
B-01.02-08,2009-02-06,Altertheim
B-01.02-08_1,2015-04-30,Altertheim
B-50.03-01,1994-12-06,Waldbüttelbrunn
B-50.02-01,1995-01-17,Waldbüttelbrunn
B-50.03-03,1993-12-28,Waldbüttelbrunn
B-17.01-04,1973-05-29,Greußenheim
B-17.01-01,1973-11-13,Greußenheim
B-17.01-04_3,1982-09-01,Greußenheim
B-17.01-01_1,1983-12-01,Greußenheim
B-17.01-01_2,1985-05-20,Greußenheim
B-17.01-03_1,1986-04-22,Greußenheim
B-17.01-02,1997-01-07,Greußenheim
B-17.01-04_2,1979-06-15,Greußenheim
B-17.01-11,2017-05-05,Greußenheim
B-17.01-11_1,2019-08-30,Greußenheim
B-17.01-11_2,2020-07-31,Greußenheim
04-01,1982-09-22,Bad Brückenau
01-07,1997-07-05,Bad Brückenau
01-07_1,2002-02-23,Bad Brückenau
B-28.01-19,1970-02-11,Leinach
B-28.01-19_4,1980-01-09,Leinach
B-28.01-19_5,1981-10-05,Leinach
B-28.01-19_7,2017-11-24,Leinach
12,2005-03-19,Wartmannsroth
01-02,2006-04-22,Zeitlofs
04-01_2,2001-02-24,Bad Brückenau
04-01_3,2002-09-14,Bad Brückenau
04-01_4,2016-03-04,Bad Brückenau
SP-01,1983-12-23,Motten
SP-02,1984-12-20,Motten
SP-03,1999-05-05,Motten
B-49.01-09,2017-01-09,Waldbrunn
B-49.01-03,1990-03-02,Waldbrunn
B-49.01-07,1997-03-07,Waldbrunn
B-49.01-07_1,2001-07-09,Waldbrunn
B-49.01-07_2,2002-02-04,Waldbrunn
B-49.01-07_4,2005-01-27,Waldbrunn
B-49.01-07_5,2009-09-18,Waldbrunn
B-49.01-07_7,2010-02-09,Waldbrunn
B-49.01-07_8,2013-01-23,Waldbrunn
B-49.01-10,2021-02-18,Waldbrunn
B-49.01-07_3,2004-01-15,Waldbrunn
B-49.01-07_9,2019-03-08,Waldbrunn
B-21.01-10,2014-11-10,Hettstadt
B-28.01-19_6,1983-10-20,Leinach
B-28.01-07,1976-02-27,Leinach
B-28.01-06,1976-03-22,Leinach
B-28.01-07_1,1981-07-30,Leinach
B-28.01-08,1981-12-17,Leinach
B-28.01-12,1984-11-29,Leinach
B-28.01-05,1985-08-28,Leinach
B-28.01-07_2,1989-06-15,Leinach
B-28.01-05_1,1989-06-15,Leinach
B-28.01-06_1,1991-03-12,Leinach
B-28.01-08_3,1992-06-10,Leinach
B-28.01-07_3,1995-01-03,Leinach
B-28.01-12_4,1995-01-03,Leinach
B-28.01-08_4,1995-01-03,Leinach
B-28.01-05_2,1995-01-03,Leinach
B-28.01-06_2,1995-01-03,Leinach
B-28.01-12_3,1995-01-27,Leinach
B-28.01-16,2005-08-26,Leinach
11,2004-08-21,Wartmannsroth
13,2005-05-21,Wartmannsroth
4,1988-05-14,Wartmannsroth
9,1999-05-22,Wartmannsroth
14,2008-07-12,Wartmannsroth
8,1997-07-05,Wartmannsroth
01-01-1,1996-05-11,Zeitlofs
01-01-2,1999-03-06,Zeitlofs
MO-01-01,1993-10-06,Oberleichtersbach
MO-01-01_1,2003-07-14,Oberleichtersbach
MO-01-01_2,2008-08-27,Oberleichtersbach
01-00,1983-11-03,Bad Brückenau
01-00_1,1987-10-19,Bad Brückenau
01-00_2,1994-12-24,Bad Brückenau
01-00_3,2003-02-15,Bad Brückenau
01-00_4,2004-07-10,Bad Brückenau
03-02,1990-02-28,Bad Brückenau
03-03,1985-03-28,Bad Brückenau
03-01,2009-11-25,Bad Brückenau
KO-01,1995-05-29,Motten
KO-02,2012-04-27,Motten
KO-04,1983-11-04,Motten
MO-06,2005-08-31,Motten
MO-07,2010-06-14,Motten
MO-04,1991-02-14,Motten
MO-09,2010-06-14,Motten
